"A.  POPULATION AND ANNUAL GROWTH RATE FOR THE PHILIPPINES AND ITS REGIONS, PROVINCES, AND HIGHLY URBANIZED CITIES",,,,,,,,,,,,,,,,,,,,,
"BASED ON THE 2000, 2010, 2015, AND 2020 CENSUSES",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"REGION, PROVINCE, AND HIGHLY URBANIZED CITY",,TOTAL POPULATION,,,,,,,,"POPULATION GROWTH RATE
(in percent)",,,,,,,,,,,
,,1-May-00,,1-May-10,,1-Aug-15,,1-May-20,,2000-2010,"2010-
2015","2015-
2020","2010-
2020",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
*,Population counts for the provinces exclude the counts of Highly Urbanized Cities.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
a,"Population counts for the regions do not add up to the national total.  Includes 18,989 persons residing in the areas disputed by the City of Pasig",,,,,,,,,,,,,,,,,,,,
,"(National Capital Region) and the province of Rizal (Region IV-A); and 2,851 Filipinos in Philippine embassies,",,,,,,,,,,,,,,,,,,,,
,consulates and missions abroad.,,,,,,,,,,,,,,,,,,,,
b,"Population counts for the regions do not add up to the national total.  Includes 2,739 Filipinos in Philippine Embassies, Consulates",,,,,,,,,,,,,,,,,,,,
,and Mission Abroad.,,,,,,,,,,,,,,,,,,,,
c,"Population counts for the regions do not add up to the national total.  Includes 2,134 Filipinos in Philippine Embassies, Consulates",,,,,,,,,,,,,,,,,,,,
,and Mission Abroad.,,,,,,,,,,,,,,,,,,,,
d,"Population counts for the regions do not add up to the national total.  Includes 2,098 Filipinos in Philippine Embassies, Consulates",,,,,,,,,,,,,,,,,,,,
,and Mission Abroad.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,The Negros Island Region (NIR) was abolished through Executive Order No. 38 ,,,,,,,,,,,,,,,,,,,,
,"“Revoking Executive Order No. 183 (s. 2015) which Created a Negros Island Region and for Other Purposes”,",,,,,,,,,,,,,,,,,,,,
," signed by President Rodrigo Roa Duterte on 07 August 2017. The abolition of NIR reverted the provinces, cities, municipalities, and barangays ",,,,,,,,,,,,,,,,,,,,
,of Negros Occidental and City of Bacolod to Region VI (Western Visayas) and Negros Oriental to Region VII (Central Visayas).,,,,,,,,,,,,,,,,,,,,
2,"Renamed province from Compostela Valley under Republic Act No. 11297, dated April 17, 2019; ratified on December 7, 2019",,,,,,,,,,,,,,,,,,,,
3,"Renamed region from ARMM under Republic Act No.11054, dated July 27, 2018; ratified on January 25, 2019.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,,,,,,,,
"Philippine Statistics Authority, 2000 Census of Population and Housing",,,,,,,,,,,,,,,,,,,,,
"Philippine Statistics Authority, 2010 Census of Population and Housing",,,,,,,,,,,,,,,,,,,,,
"Philippine Statistics Authority, 2015 Census of Population",,,,,,,,,,,,,,,,,,,,,
"Philippine Statistics Authority, 2020 Census of Population and Housing",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
